分类,规格/功能,参数,,说明
,最大越沟深度,4cm,,"1. 主要针对推拉门地面滑轨的通行。
2. 参考友商参数，如云迹UP、云迹格格、水滴。"
,最小避障高度,2.5cm,,"1. 针对低矮障碍物的避障能力。
2. 以机器人越障高度为最小避障高度。"
,最大避障高度,140cm,,"1. 针对悬空障碍物的空间避障能力，如桌子、打开的柜门、悬挂物等。
2. 以机器人高度为最大避障高度。"
,最大爬坡坡度,10°,,"1. 根据《建筑地面工程施工质量验收规范》（GB 50209-2010），卫生间地面防水层和地漏之间应有排水坡度，不应小于1%。
2. 根据《住宅室内装饰装修设计规范》（JGJ 367-2015）和《建筑给水排水及采暖工程施工质量验收规范》（GB 50242-2002），卫生间地面向地漏处排水坡度一般为2%-3%，其中非浴区地面排水坡度不宜小于0.5%，浴区地面排水坡度不宜小于1.5%。
3. 参考友商参数，如云迹UP、云迹格格、水滴。"
,最小通行宽度,65cm,,"1. 入户门及房间门净宽≥90cm，卫生间门通行净宽≥70cm。
2. 参考卫生间门宽度，预留开门的阻挡，所以最小通行宽度65cm。"
,原地转弯半径,0,,便于脱困，避免碰撞。
,驱动系统,待定,,2驱 or 4驱，由研发确定。
,轮胎类型,防滑轮胎,,针对家庭光滑地面（如抛光瓷砖、地面有水），避免机器人打滑。
底盘系统,行走电机类型,待定,,研发确定
,行走电机数量,2 or 4,,2驱 or 4 驱，研发结合使用工况综合判断
,主动轮数量,2 or 4,,2驱 or 4 驱，研发结合使用工况综合判断
,从动轮数量,待定,,研发确定
,辅助轮数量,待定,,研发确定
,悬挂系统,有,,减少越障和过坎时候的振动和噪声，提升机身平稳性。
头部系统,头部水平转动电机类型,待定,,研发确定
,头部水平转动电机数量,1,,水平方向（Yaw轴）转动。
,头部转动范围,-75 to +75°,,在不移动整体机身的情况下，转动头部实现与多人交流，提升交互自然感和体验感。
,头部转动速度,0-120°/s,,"1. 转速无极可调，适应不同的交互需求。
2. 大致3-5s完成一圈转动，以实际测试效果来调整。"
,头部/显示屏俯仰电机类型,待定,,研发确定
,头部/显示屏俯仰电机数量,1,,竖直方向（Pitch轴）俯仰。
,头部/显示屏俯仰范围,待定,,"1. 结合机器人高度和用户交互友好性而定。但同向俯/仰不宜超过45°，避免影响外观感受。
2. 参考：-10 to 40°，结合外观而定。"
,头部/显示屏俯仰速度,0-36°/s,,转速无极可调。
药箱系统,药箱尺寸,"L：25-30cm
W：20-25cm
H：25-30cm",,"1. 用于存放紧急用药、日常用药还可以根据用户喜好存放其他医疗用品，如创可贴、棉签、体温计等。
2. 盒装药一般尺寸：
2.1 小规格（1板装，10-12 粒）：长8-12cm × 宽5-7cm x 厚1.5-2cm；
2.2 常规规格（2板装）：长12-15cm × 宽6-8cm x 厚2-3cm。
3. 瓶装药一般尺寸：
3.1 小瓶（100粒以内片剂/胶囊）：长9-11cm × 宽5-6cm；
3.2 中瓶（饮用药）：长12-15cm × 宽7-9cm。
4. 具体尺寸需结合外观造型和结构设计而最终确定。"
,药箱分区,1/3/4/5,,"1. 标准药箱不分区，只有1格。
2. 提供托盘或者隔板配件进行分区，用户根据自己的需求来安装和使用。"
,药箱开关方式,语音、按键、手动,,"1. 语音控制：无须操作，直接语音控制。
2. 按键控制：电动控制，操作方便。
3. 手动开合：断电或者故障情况下依然可取药，安全兜底。"
,药箱电机类型,待定,,研发确定
,药箱电机数量,待定,,"1. 药箱打开和关闭控制。
2. 需根据药箱数量而定。"
,药箱运动距离,18-23cm,,"1. 基于药箱宽度≥20cm（待定），预留足够空间让用户伸手取放药品。
2. 药箱伸出距离需比深度小~2cm（待定），避免看到机器人内部结构。"
,药箱运动速度,0.05-0.1m/s,,"1. 药箱打开：0.1m/s；关闭：0.05m/s。
2. 根据实际效果来确定具体的速度值，避免速度过快造成惊吓。
3. 关闭速度需小于打开速度，避免造成夹手风险。"
智能化,建图,自动建图,,"1. 适用于0-500㎡（暂定）的家庭环境。
2. 自动完成建图，无须用户手动操作。"
,最大地图数量,5,,常规情况下只使用1张地图（保存多张地图作备用，允许调用不同地图）。
,最大分区数量,20,,"1. 以家庭空间布局为分区依据，包括客厅、餐厅、卧室、书房、厨房、卫生间、阳台、入户花园等区域。
2. 可手动修改分区及名称。"
,禁区设置,有,,可通过语音指令或者手动的方式添加和删除禁区，个性化满足用户日常习惯和使用需求，同时保护用户隐私。
,自主导航,有,,在家庭环境下进行定位、路径规划和运动控制，自动行走到达目标地点。
,人宠识别,有,,"1. 识别老人、成人和小孩。
2. 识别家庭宠物类别（狗、猫、鸟等）和特征（大小、毛色等）。"
,人脸识别,有,,能录入和识别不同用户的人脸信息。
,声纹识别,有,,能录入和识别不同用户的声纹信息。
,手势识别,有,,"1. 识别常规控制和交互手势，并语音确认手势含义是否理解正确。
2. 常见手势类型：肯定/确认，否定/取消，挥手/招手召唤，安静，暂停/停止，跟我走，回去/走开，拍照等。"
,物品识别,有,,识别家庭常用物品，如手机、手表、钥匙、遥控器、眼镜、药品等。
,主动避障,有,,通过摄像头、激光雷达、超声（如有）等传感器，实现非接触式主动避障。
,被动避障,有,,通过碰撞、皮肤（如有）等传感器，实现接触式被动避障。
,自动跟随,有,,在家里跟随用户到达不同的地点。
,自动回充,有,,待机、完成任务、电量低、用户要求等情况下，机器人需自动返回充电站。
传感器,环视摄像头类型,RGB单目摄像头（待定）,,研发确定
,环视摄像头数量,4（待定）,,研发确定
,环视摄像头视场角,"H: ≥90°
V: ≥60°",,"1. 能检测到桌子以上的环境。
2. 桌子一般高度75-78cm。"
,环视摄像头检测距离,0.2-10m,,"1. 有效检测距离：0.2-10m，常规工作距离：0.5-5m。
2. 家庭环境中，环视相机主要作用在于环境识别和语义建图，如稳定识别不同光照下（如早晚靠窗区域）的家具轮廓和门的状态。
3. 近距离0.2m：准确识别和避障的最小边界，重点在保证安全。如能做到更短则更优。
4. 远距离10m：家庭环境中，一头到另一头的可视距离一般不超过10m，远距离“看到”即可，不要求测距十分精确。"
,环视摄像头性能,"帧率≥15fps
延迟≤100ms
自动对焦",,"1. 机器人行走速度不快（≤0.6m/s），家庭环境（人和物品）变化速率不高。上述情况下保证识别能力和安全需求，具体帧率参数由研发确定。
2. 人对视觉反馈的延迟感知阈值约为100-200ms，低于此值，感觉系统实时；超过此值，会感到“卡顿”或者“机器反应慢”。
3. 同时近处和远处的人和物品，需自动变焦。"
,交互摄像头类型,待定,,研发结合交互工况而定
,交互摄像头数量,1-2（待定）,,研发结合交互工况而定
,交互摄像头视场角,"H: ≥150°
V: ≥120°",,"1. 与人眼相似，实现拟人化交互。
2. 人单眼水平视场角为150-160°，垂直视场角为120-130°。"
,交互摄像头检测距离,0.2-5m,,"1. 有效检测距离：0.2-5m，常规工作距离：0.5-3m
2. 靠近距离（0.2-0.5m）：主要用于物品扫描、细节信息识别，如药盒信息识别，报告扫描。
3. 近距离（0.5-1.5m）：主要用于多模理解与交互、人脸识别、手势识别。
4. 中距离（1.5-3m）：主要用于唤醒、多人对话理解、物品识别。
5. 远距离（3-5m）：多用户检测、物品模糊识别。"
,交互摄像头性能,"帧率≥60fps
延迟≤100ms
自动对焦",,"1. 保证流畅交互，帧率需≥30fps；准确手势识别，帧率需≥60fps。
2. 人对视觉反馈的延迟感知阈值约为100-200ms，低于此值，感觉系统实时；超过此值，会感到“卡顿”或者“机器反应慢”。
3. 同时看清近处的人脸和表情，以及远处的环境和物品，需自动变焦。"
,IMU数量,待定,,研发确定
,红外传感器数量,2（待定）,,"1. 需采用可靠、性价比高的传感器，完成机器人自动回充的上桩对准。
2. 红外传感器仅作参考，最终方案由研发确定。"
,碰撞传感器类型,待定,,"1. 针对未主动避障的情况，机器人需检测是否发生碰撞。
2. 碰撞传感器方案（采用传感器or软件检测），以及传感器类型（如采用），由研发确定。"
,碰撞传感器数量,待定,,"1. 前进、后退、转弯、原地转向情况下，需检测到是否发生碰撞。
2. 传感器数量（如采用），由研发确定。"
,障碍物种类,>50种（待定）,,详见家庭典型环境说明 v0.2 
,倾斜传感器类型,IMU,,防止机器人过度倾斜造成危险。
,倾斜传感器数量,待定,,研发确定
,倾倒传感器类型,IMU,,防止机器人倾倒造成危险。
,倾倒传感器数量,待定,,研发确定
,抬升传感器类型,待定,,防止机器人被抬升造成危险。
,抬升传感器数量,待定,,研发确定
,跌落传感器类型,待定,,防止机器人跌落落差区域（如楼梯）造成危险。
,跌落传感器数量,待定,,研发确定
,药箱防夹手传感器类型,待定,,"1. 用户取药和放药时不能被夹伤，包括手未离开时不能夹手（非接触式检测），意外夹手时马上停止或者反弹（接触式检测）。
2. 最高使用安全等级，需要结合软硬件方案来实现，由研发确定。"
,药品取出/放回传感器类型,待定,,"1. 检测用户是否从药箱取药和把药放回，综合解决用户忘吃、少吃、多吃的问题。
2. 对应《JQR-JK-1205 药箱功能需求》的拓展需求，基于预研结果决定是否实现此需求。具体检测方案（采用传感器or软件检测），以及传感器类型（如采用），由研发确定。"
,药品取出/放回传感器数量,待定,,"1. 有效检测药箱不同分区取出和放回药品。
2. 对应《JQR-JK-1205 药箱功能需求》的拓展需求，基于预研结果决定是否实现此需求。具体传感器数量（如采用），由研发确定。"
,悬崖检测,有,,"1. 防止掉落楼梯等落差区域，避免机器人损坏，保护人身安全。
2. 需充分考虑方案的有效性，禁止机器人靠近和跌落落差区域，而非单纯检测。"
交互系统,显示屏类型,待定,,"1. 彩色，LCD, OLED, AMOLED，研发根据交互内容确定选型。
2. 可考虑双屏选型，其中一个作内容显示、视频通话、操作菜单（LCD），另一个作表情和情感表达（OLED）。"
,显示屏形状,待定,,"1. 当前以企鹅ID为参考，圆形屏幕。
2. 可考虑内嵌的屏幕，与机器人脸融合在一起，不一定正圆形。"
,显示屏尺寸,8-10寸,,如果只有单屏，则以交互为主要目的，兼顾内容显示。
,显示屏分辨率,1080p,,清晰显示：内容显示，视频通话，操作菜单，表情等。
,显示屏触控,有,,通过显示屏操控。
,状态指示灯,RGB灯,,通过不同颜色和显示方式来指示机器人不同的状态，包括待机、工作、充电、故障等。
,照明灯,有,,"1. 夜间老人起夜照明。
2. 防止夜间碰撞机器人，起到提示作用。
3. 是否为摄像头提供夜间照明，由研发确定。"
,电源指示灯,单色灯,,"1. 指示是否正常通电，亮则通电，不亮则未通电。
2. 颜色可选绿色或黄色。"
,充电站指示灯,待定,,"1. 根据机器人充电方案来确定单色灯or多色灯。
2. 单色：指示电源是否接通，如绿灯常亮。
3. 多色：指示充电站是否正常工作，如正常-绿灯常亮，充电-绿灯呼吸，故障-红灯常亮。"
,麦克风数量,4-8阵列,,由研发确定
,声源定位角度,360°,,"1. 全向声源定位，转动头部实现快速即时交互，更加贴近真人交互体验。
2. 通过声源定位快速锁定用户的方位，提高找人效率。"
,声源定位距离,0.5-5m,,"1. 以人正常说话音量（65dB）为参照。
2. 距离太近（<0.5m）无须准确声源定位，摄像头可识别人的位置。
3. 交互距离内（0.5-3m），机器人需准确识别声音来源，并转向正在说话的用户，实现拟人化的对话跟随。
4. 远距离时，机器人能识别大致的方位，给予用户拟人化的靠近和回应，如“我来了”。
5. 不同距离的声源定位精度（水平角误差）需由研发和测试制定。"
,唤醒距离,0-8m,,"1. 8m范围内，用户以正常音量（65dB）说话，机器人能被唤醒。
2. 不同距离的唤醒成功率需由研发和测试制定。"
,扬声器数量,2（待定）,,立体音获得更好的音视频体验。
,扬声器功率,2-5W * 2,,"1. 以正常听力为参考，8m范围内听见机器人说话（“听得见”），靠近3m范围内听清晰机器人说话内容（“听得清”）。
2. 具体功率由研发确定。"
,扬声器音量,0-100dB,,"1. 音量无级可调：
1.1 自主调节：交互时，根据用户与机器人距离（0.5-8m)，调节音量大小，避免音量过小用户听不见，或者音量过大造成惊吓甚至伤害听力。
1.2 手动调节：用户可在显示屏上手动调节音量大小。
2. 音量过大（近距离）时，提醒用户避免由于音量过大而伤害听力。
3. 0-100dB可调指的是1m距离的音量值。"
,机器人开关按键,有,,电源开关，控制机器人通断电，通电时指示灯亮。
,药箱开关按键,有,,通电情况下快捷打开药箱，带有指示灯方便夜间使用。
,急停按键,有,,"1. 红色按键，起到警示提醒作用。
2. 按键尺寸不能过小，避免拍按键时手疼痛。
3. 设置在方便操作的位置，不能过矮或者过于隐蔽。"
,APP,有,,机器人应用，可在机器人端和手机端使用。
连接方式,蓝牙,蓝牙5.0以上,,后续明确使用场景和传输内容，研发再确定具体蓝牙规格。
,Wi-Fi,Wi-Fi 6 或以上,,"1. 需兼容2.4GHz和5GHz。
2. 明确使用场景和传输内容，研发再确定具体Wi-Fi规格。"
,4G/5G模块,有,,如，拨打紧急联系人、小区物业、救援电话。具体使用场景待进一步明确。
人身安全保护,突发疾病检测与处理,有,,"1. 突发疾病包括心绞痛、急性心肌梗死、脑卒中（中风）、肺栓塞、急性心力衰竭、急性胰腺炎、低血糖昏迷等。
2. 通过用户佩戴穿戴设备，以及机器人视觉识别能力，获取用户健康数据异常或肢体姿态异常。"
,睡眠异常检测与处理,有,,"1. 睡眠异常包括睡眠呼吸暂停综合征（呼吸暂停）、不宁腿综合征（双腿不适感）、快速眼动睡眠期行为障碍（喊叫、挥拳、踢腿）、超出常规长时间未起床等。
2. 通过用户佩戴穿戴设备，以及机器人视觉识别能力，获取用户健康数据异常或肢体姿态异常。"
,跌倒检测与处理,有,,通过用户佩戴穿戴设备，用户异常叫喊，以及机器人视觉识别能力，检测跌倒行为。
,语音呼救,有,,用户主动发起，应对老人突发不适或者受伤时，呼叫机器人寻求帮助。
,外出未归检测与处理,有,,通过用户佩戴穿戴设备（定位），机器人记录常规习惯或者约定回家时间，以及机器人对回家的判断，识别长时间外出未归的行为。
居家安全保护,煤/燃气泄露报警,有,,通过家庭煤/燃气传感器，触发煤/燃气泄露报警。
,烟雾报警,有,,通过家庭烟雾传感器，以及机器人视觉识别，触发烟雾报警。
,火灾报警,有,,通过家庭烟雾传感器，以及机器人视觉识别，触发火灾报警。
,用水安全报警,有,,"1. 针对忘记关水溢出，以及地面大面积积水的场景。
2. 通过机器人视觉识别实现。"
,防滑检测,有,,"1. 检测地面积水（忘关水，打撒水，下雨未关窗等），提醒用户注意和处理，防止滑倒造成伤害。
2. 通过机器人视觉识别实现。 "
,地震报警,有,,通过联网获取地震预警信息，并根据地震等级，实施安全提醒或报警。
,陌生人闯入报警,有,,通过机器人视觉识别是否陌生人（未完成姓名、人脸、声纹等身份信息录入），并通过用户问答，判断是否陌生人闯入和实施报警。
机器人安全保护,倾斜检测,有,,防止机器人过度倾斜引发安全事故。
,倾倒检测,有,,防止机器人倾覆甚至倒下引发安全事故。
,抬升检测,有,,防止机器人被抬升引发安全事故。
,防跌落保护,有,,"1. 防止跌落楼梯等落差区域，避免机器人损坏，保护人身安全。
2. 需充分考虑方案的有效性，禁止机器人靠近和跌落落差区域，而非单纯检测。"
,夹手保护,有,,避免由于药箱、驱动轮、传动机构造成的夹手。
,急停,有,,用于紧急安全情况下快速停止所有动作。
,电池保护,有,,检测电池过流、过压、高温、低温、欠压等，避免造成电池损坏。
,电机保护,有,,检测电机过流、堵转、高温、传感器异常等，避免造成电机损坏。
,机器人防盗,有,,通过初始密码、修改密码、管理员身份等方式，避免机器人及数据被盗用。
电池,平均续航时间,4h,,"1. 以此工况为标准：交互60%，运动+传动20%，静默20%。
2. 后续补充行走续航时间、交互续航时间、待机时间的需求和评估。"
,电池类型,锂电池,,"1. 电芯型号：18650。
2. 含电池管理系统（BMS）。"
,电池电量,250Wh（待定）,,"计算逻辑，数据待实测和更新：
1. 显示屏额定功率aW，驱动电机bW，传动机构cW，算力芯片dW，其他传感器和电子器件eW，待机功耗fW。
2. 按标准工况（交互60%，运动+传动20%，静默20%）计算，额定功率为60%*(a+d+e)+20%*(b+c+d+e)+20%*f=**W。
3. 假设上述求得机器人整机额定功率为50W，则想要满足平均续航时间的要求（4h），结合有效使用电量（80%），则电池电量至少为50*4/80%=250Wh。"
,额定电压,25.2V,,"1. 针对电机、芯片、传感器、关键器件，常规工作电压为24V或以下，估选择20-30V的电压区间。
2. 结合18650电芯的单节电池电压，估算得出额定电压为3.6*7=25.2V。"
,电池容量,10.4Ah,,"计算逻辑，数据待实测和更新：
1. 根据电池电量和额定电压，计算出电池电量，估算得出电池容量为250/25.2≈10Ah。
2. 再结合18650电芯的单节电池容量（常规2.6Ah)，所以取4节关联得10.4Ah。"
,电芯组合,7s4p,,根据电池电量要求和单节电芯性能，推算电芯组合为7s4p。
,是否可拆卸,是,,电池包可从外壳拆卸，方便售后维护和更换。
充电,充电时间,≤1.5h,,电量从10%到90%的充电时间。
,适配器输入,"100-240V (AC), 50-60Hz",,交流电通用特性。
,适配器输出,待补充,,研发确定
,充电电压,30V（待定）,,"1. 单节18650电芯的满电电压为4.2V，电池包满电电压为29.4V。充电电压需比满电电压大。
2. 具体数值由研发确定。"
,充电电流,5A（待定）,,"计算逻辑，数据待实测和更新：
根据电池电量、充电时间、充电电压估算得出250*80%/1.5/30≈4.4A。"
,充电方式,接触式,,弹片接触式充电，不考虑无线充。
其他,接口,"USB接口*1
type-C接口*1",,"1. 日常使用时，用于读取文本和音频频；不能保存和导出机器人数据。
2. 本地升级。"
,把手,有,,"1. 方便搬运安装。
2. 特殊情况下（如受困、掉电、故障），方便移动机器人。"
